"id"	"label"	"description"	"x"	"y"	"cluster"	"weight<EU pub.>"	"weight<Total  link strength>"	"weight<Mur pub.>"	"weight<Spain pub.>"	"weight<Links>"
1867	1867	"<table><tr><td>Micro-level field:</td><td>1867</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of electroanalytical chemistry; analytical chemistry; electrochimica acta; electrochemistry communications; electroanalysis</td></tr><tr><td>Terms:</td><td>electrochemical microscopy; liquid liquid interface; dichloroethane interface; secm; ion transfer</td></tr></table>"	"0.3568"	"-0.5904"	3	3254	144676	187	429	2114
152	152	"<table><tr><td>Micro-level field:</td><td>152</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>journal of physical chemistry b; journal of molecular liquids; physical chemistry chemical physics; journal of chemical and engineering data; journal of chemical thermodynamics</td></tr><tr><td>Terms:</td><td>imidazolium; alkyl; ionic liquids; anion; room temperature ionic liquid</td></tr></table>"	"0.3351"	"-0.5718"	3	8620	718761	128	1431	2706
270	270	"<table><tr><td>Micro-level field:</td><td>270</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>synthetic metals; journal of applied polymer science; electrochimica acta; sensors and actuators b-chemical; polymer</td></tr><tr><td>Terms:</td><td>polyaniline; polypyrrole; ethylenedioxythiophene; electrochemical synthesis; corrosion protection</td></tr></table>"	"0.5048"	"-0.5658"	3	4076	544194	123	692	2655
81	81	"<table><tr><td>Micro-level field:</td><td>81</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>organic letters; journal of organic chemistry; journal of the american chemical society; angewandte chemie-international edition; tetrahedron letters</td></tr><tr><td>Terms:</td><td>suzuki miyaura reaction; suzuki cross coupling reaction; palladium nanoparticle; catalyzed c h activation; heck</td></tr></table>"	"-0.0206"	"-0.7326"	3	7408	1137669	112	1173	2191
92	92	"<table><tr><td>Micro-level field:</td><td>92</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>physical review d; physics letters b; nuclear physics b-proceedings supplements; european physical journal c; aip conference proceedings</td></tr><tr><td>Terms:</td><td>branching fraction; besiii; perturbative qcd approach; kloe; cmd</td></tr></table>"	"1.2405"	"-0.3203"	3	11351	238000	99	3183	1400
899	899	"<table><tr><td>Micro-level field:</td><td>899</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Sources:</td><td>journal of chromatography a; journal of agricultural and food chemistry; food chemistry; analytica chimica acta; talanta</td></tr><tr><td>Terms:</td><td>dissipation; pesticide residue; acetylcholinesterase; quechers method; carbendazim</td></tr></table>"	"0.0023"	"-0.4747"	3	3556	275402	85	1506	2447
355	355	"<table><tr><td>Micro-level field:</td><td>355</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>organometallics; journal of organometallic chemistry; inorganic chemistry; dalton transactions; inorganica chimica acta</td></tr><tr><td>Terms:</td><td>ii ii; fischer carbene complex; tricarbonyl; diruthenium; electronic coupling</td></tr></table>"	"0.167"	"-0.7119"	3	8436	413414	78	1819	1543
437	437	"<table><tr><td>Micro-level field:</td><td>437</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>chemical communications; tetrahedron letters; journal of inclusion phenomena and macrocyclic chemistry; supramolecular chemistry; journal of organic chemistry</td></tr><tr><td>Terms:</td><td>p tert; anion receptor; calix4pyrrole; anion binding; lower rim</td></tr></table>"	"0.1779"	"-0.6595"	3	5900	402229	75	915	2079
103	103	"<table><tr><td>Micro-level field:</td><td>103</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering</td></tr><tr><td>Sources:</td><td>international journal of heat and mass transfer; international communications in heat and mass transfer; international journal of numerical methods for heat & fluid flow; aip conference proceedings; international journal of thermal sciences</td></tr><tr><td>Terms:</td><td>sheet; peristaltic flow; mhd flow; stagnation point flow; activation energy</td></tr></table>"	"0.6963"	"-0.278"	3	3183	213145	75	250	2272
420	420	"<table><tr><td>Micro-level field:</td><td>420</td></tr><tr><td>Main fields:</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Sources:</td><td>journal of molecular catalysis b-enzymatic; enzyme and microbial technology; process biochemistry; international journal of biological macromolecules; applied biochemistry and biotechnology</td></tr><tr><td>Terms:</td><td>lipase; biodiesel production; immobilized lipase; biodiesel; candida rugosa lipase</td></tr></table>"	"-0.1543"	"-0.4969"	3	5520	458573	70	1323	2679
